display_name,fleet_id,model_name,rating,rating_lower,rating_upper,variance,vote_count,rank,category,leaderboard_publish_date
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1437.7707522346923,1398.301398275752,1477.2401061936325,405.5308086459253,218.0,64,german,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1533.887366100932,1526.5420191547018,1541.2327130471624,14.045216746783856,9527.0,1,hard_prompts,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1532.8737276929378,1528.277934748374,1537.4695206375018,5.4982530791484185,39515.0,2,hard_prompts,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1526.6637312684336,1522.2001395254551,1531.127323011412,5.186480495549016,42980.0,3,hard_prompts,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1512.7696200695377,1506.6687832461866,1518.8704568928888,9.689082112412423,20316.0,7,hard_prompts,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1505.5827830306912,1495.91910025967,1515.2464658017125,24.310234485881697,4075.0,9,hard_prompts,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1504.809081608076,1498.7587412719477,1510.859421944204,9.52935327219393,20894.0,11,hard_prompts,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1501.1386067652984,1495.9145815817453,1506.3626319488515,7.104186298023548,29725.0,16,hard_prompts,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1494.4334412405658,1489.2709553811383,1499.5959270999933,6.937796679016061,31056.0,24,hard_prompts,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1490.7674450076713,1483.473302330878,1498.0615876844647,13.850081407304028,8943.0,29,hard_prompts,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1471.7689743637898,1466.4030642335579,1477.134884494022,7.495327392452308,20586.0,56,hard_prompts,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1538.4792013635322,1532.7263930941854,1544.232009632879,8.615165365194555,18950.0,1,hard_prompts_english,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1532.2285397998417,1522.7354241919386,1541.7216554077447,23.459640764475854,4470.0,2,hard_prompts_english,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1531.1798835736035,1525.6371089866716,1536.7226581605353,7.997573722783056,21064.0,3,hard_prompts_english,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1514.2943711359708,1506.963437469199,1521.6253048027427,13.990150860681856,9825.0,7,hard_prompts_english,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1510.9897613800767,1496.2396794918209,1525.7398432683326,56.63601404191112,1654.0,8,hard_prompts_english,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1507.6901274082727,1500.359710560016,1515.020544256529,13.988178365918959,10253.0,11,hard_prompts_english,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1499.2064741426416,1492.7336366473542,1505.6793116379292,10.906696439044651,14645.0,18,hard_prompts_english,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1493.504473712179,1487.091896166067,1499.917051258291,10.704566339063039,15310.0,24,hard_prompts_english,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1491.9402017053987,1482.22803578792,1501.6523676228776,24.55477754974173,4162.0,26,hard_prompts_english,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1468.9519952548483,1462.0713740816218,1475.8326164280747,12.324210655184993,10085.0,64,hard_prompts_english,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1504.177221702877,1497.8181056216627,1510.5363377840913,10.526823069536881,13298.0,2,industry_business_and_management_and_financial_operations,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1500.939749199205,1494.4172445041995,1507.4622538942103,11.074716528831706,12565.0,3,industry_business_and_management_and_financial_operations,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1500.348020866716,1489.1076740916747,1511.588367641757,32.88995184395907,3088.0,4,industry_business_and_management_and_financial_operations,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1493.1023275546586,1484.5750681851314,1501.6295869241858,18.928786106849273,6310.0,7,industry_business_and_management_and_financial_operations,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1491.3010722196327,1474.111082685111,1508.491061754155,76.92279261335081,1258.0,9,industry_business_and_management_and_financial_operations,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1491.1568922466008,1482.6953419238894,1499.6184425693127,18.63818856473997,6307.0,10,industry_business_and_management_and_financial_operations,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1488.6653052293937,1481.105139610987,1496.2254708478004,14.878749674429544,9204.0,12,industry_business_and_management_and_financial_operations,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1484.9418290899457,1477.3482626708706,1492.5353955090204,15.010508677139816,9340.0,13,industry_business_and_management_and_financial_operations,2026-07-21
