display_name,fleet_id,model_name,rating,rating_lower,rating_upper,variance,vote_count,rank,category,leaderboard_publish_date
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1485.3192392665112,1471.8204546687791,1498.8180238642433,47.43437171169308,2055.0,7,instruction_following,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1477.9212717059852,1471.502283976188,1484.3402594357826,10.72597817613574,15275.0,14,instruction_following,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1477.6357112462438,1470.4035475606227,1484.8678749318647,13.615710597715983,10733.0,15,instruction_following,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1471.477809359104,1465.1468419102412,1477.8087768079668,10.433835349904506,15888.0,19,instruction_following,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1460.2414760811223,1450.9460531151872,1469.5368990470577,22.49272793194356,4571.0,32,instruction_following,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1434.059270152552,1427.3614557446213,1440.7570845604826,11.678042102499719,10564.0,64,instruction_following,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1542.7401759030977,1521.3958957497055,1564.08445605649,118.59512662540399,761.0,1,math,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1518.4799267407766,1507.531927576521,1529.4279259050325,31.20134597170754,3277.0,3,math,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1502.1399640096545,1491.7735340746385,1512.5063939446702,27.974494746288883,3706.0,6,math,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1497.1305978823495,1484.4828905389918,1509.778305225707,41.641602450997425,2436.0,8,math,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1496.6957209064878,1481.4472343204284,1511.9442074925475,60.528136319634676,1515.0,9,math,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1490.0714173492709,1477.583071691323,1502.5597630072186,40.59884136521975,2363.0,14,math,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1483.4141234067947,1451.2340954708059,1515.5941513427833,269.5731612122012,301.0,17,math,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1476.1249317322288,1460.945741380121,1491.3041220843363,59.97925020159021,1532.0,22,math,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1467.724623583857,1444.6202357891575,1490.8290113785565,138.96094173707843,617.0,34,math,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1426.4075864058887,1412.9491087919191,1439.866064019858,47.15151929000488,2041.0,87,math,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1517.5285631177026,1504.9028867620266,1530.1542394733783,41.49665813922965,2461.0,3,multi_turn,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1517.4906258377384,1510.5858574406489,1524.395394234828,12.41086494552959,10820.0,4,multi_turn,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1511.2363022726931,1504.5752428791616,1517.8973616662247,11.550224619129956,11810.0,5,multi_turn,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1505.930691929239,1496.8855076239868,1514.9758762344914,21.297991969935413,5534.0,7,multi_turn,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1498.8709915983748,1489.9789165505713,1507.7630666461782,20.58306553484828,5824.0,9,multi_turn,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1489.2745348573594,1481.2540452793407,1497.295024435378,16.74578749212839,7873.0,15,multi_turn,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1480.587244249201,1472.693310988656,1488.4811775097457,16.221489082805302,8277.0,28,multi_turn,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1480.222554596858,1461.1463455591702,1499.2987636345456,94.7300929764499,1035.0,29,multi_turn,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1467.8629396216138,1455.3148244765553,1480.4110547666724,40.9883851534291,2400.0,49,multi_turn,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1466.708447214267,1458.4300667351552,1474.9868276933787,17.839989065548785,6182.0,51,multi_turn,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1521.311095203812,1504.8383133152363,1537.783877092388,70.63788935776161,1371.0,1,russian,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1509.2406608298074,1501.2053838059828,1517.2759378536323,16.807593121078813,7018.0,3,russian,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1503.9717052214658,1495.7806286216942,1512.162781821237,17.465691810071423,6636.0,6,russian,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1498.4691425804274,1487.324661361549,1509.6136237993055,32.33132709085938,3195.0,9,russian,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1490.055232767457,1466.5338856536664,1513.5765798812474,144.0217885629842,621.0,14,russian,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1487.792844526697,1476.5954083026259,1498.9902807507685,32.63931330376431,3160.0,16,russian,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1485.6742197104766,1476.112051238412,1495.236388182541,23.802172600570227,4693.0,18,russian,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1478.9855420304561,1469.48578448633,1488.485299574582,23.492479708756346,4730.0,23,russian,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1461.4533462851316,1445.20629799281,1477.700394577453,68.71519142442068,1350.0,39,russian,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1459.5078513979945,1448.9645974426348,1470.0511053533542,28.936976590346788,3544.0,42,russian,2026-07-21
