feature,exact_surface,owner,description_bytes,schema_bytes,last_use_90d,observation_gap,30d_calls,30d_unique_sessions,30d_unique_agents,30d_unique_projects_scopes,30d_orchestrator_calls,30d_worker_calls,30d_runtimes,60d_calls,60d_unique_sessions,60d_unique_agents,60d_unique_projects_scopes,60d_orchestrator_calls,60d_worker_calls,60d_runtimes,90d_calls,90d_unique_sessions,90d_unique_agents,90d_unique_projects_scopes,90d_orchestrator_calls,90d_worker_calls,90d_runtimes,90d_successful,90d_errors,90d_unknown
mcp_tool:merge_worker,merge_worker,app/mcp_stdio.py:merge_worker,868,1340,2026-08-24T05:50:46.294454+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,89,9,9,5,67,22,claude;codex,89,9,9,5,67,22,claude;codex,89,9,9,5,67,22,claude;codex,88,1,0
mcp_tool:notify_user,notify_user,app/mcp_stdio.py:notify_user,1234,1428,2026-08-24T06:04:11.506762+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,18,4,4,4,18,0,claude;codex,18,4,4,4,18,0,claude;codex,18,4,4,4,18,0,claude;codex,18,0,0
mcp_tool:open_fan,open_fan,app/mcp_stdio.py:open_fan,1437,1799,2026-08-23T15:56:14.667701+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,7,7,7,3,2,5,claude;codex,7,7,7,3,2,5,claude;codex,7,7,7,3,2,5,claude;codex,7,0,0
mcp_tool:payment_receive,payment_receive,app/mcp_stdio.py:payment_receive,136,492,,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
mcp_tool:payment_status,payment_status,app/mcp_stdio.py:payment_status,59,239,,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
mcp_tool:publish_artifact,publish_artifact,app/mcp_stdio.py:publish_artifact,76,420,,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
mcp_tool:release_test_lock,release_test_lock,app/mcp_stdio.py:release_test_lock,164,294,,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
mcp_tool:rename_worker,rename_worker,app/mcp_stdio.py:rename_worker,22,274,,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
mcp_tool:report_bug,report_bug,app/mcp_stdio.py:report_bug,824,1084,2026-08-23T15:28:53.469821+00:00,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,16,4,4,3,15,1,codex,16,4,4,3,15,1,codex,16,4,4,3,15,1,codex,16,0,0
mcp_tool:resolve_merge_operation,resolve_merge_operation,app/mcp_stdio.py:resolve_merge_operation,419,703,,named tool_name telemetry starts 2026-08-13; older NULL/wrapper rows excluded,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0
