project_id	scope	par_number	status	worker_session_id	worker_row_exists	worker_name	worker_status	worker_task_id	matching_main_prefix_count	linked_git_commit_count	linked_sha_reachable_count
/home/kesha/orchestra	/home/kesha/orchestra	176	done	996dbe25-9378-402f-af16-e2837c408631	1	audit-sol-usability	archived		2	1	0
/home/kesha/orchestra	/home/kesha/orchestra	177	done	571f373a-15a0-4089-a04d-6d9c4660d5bb	1	audit-phase-overhead	archived		2	3	0
/home/kesha/orchestra	/home/kesha/orchestra	178	done	b123a23f-d9c9-4b8b-b72b-f6a0db36a477	1	audit-prompt-economy	archived		3	1	0
/home/kesha/orchestra	/home/kesha/orchestra	179	done	66a819ca-0680-49fb-81d4-33621a93e783	1	fix-codex-sandbox	archived		3	1	0
/home/kesha/orchestra	/home/kesha/orchestra	180	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	181	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	182	done	f8067789-3c0d-4776-8725-993860c12ef6	1	fix-review-guard	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	183	done		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	184	done	79199fb8-107f-40c4-a5fe-849e5e97b6d9	1	feat-review-council	idle		5	3	0
/home/kesha/orchestra	/home/kesha/orchestra	185	done		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	186	done	aa6fa31e-6105-43db-9bb8-6974c9f3fd35	1	quota-policy	idle		9	6	0
/home/kesha/orchestra	/home/kesha/orchestra	187	in_progress	35aacaa7-1108-427e-a842-52806a5d242e	1	quota-routing	idle		5	5	0
/home/kesha/orchestra	/home/kesha/orchestra	188	done	f7e0a04b-f97f-4961-81ec-270a148d7078	1	audit-rules-memory	archived		5	6	0
/home/kesha/orchestra	/home/kesha/orchestra	189	done	e5d041f4-83de-4bb5-a7ca-6b2003d2687f	1	tg-readability	archived		9	5	0
/home/kesha/orchestra	/home/kesha/orchestra	190	done	97c2982d-1721-425b-b9a0-8d7e430d5650	1	codex-pricing	archived		2	2	0
/home/kesha/orchestra	/home/kesha/orchestra	191	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	192	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	193	done	2a25c64d-2925-41c5-b7cc-b78a4f7ad013	1	fix-memory-subrepo	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	194	done	3cc38566-d95c-496c-884f-5c30ba46d892	1	r194-science	archived		0	3	0
/home/kesha/orchestra	/home/kesha/orchestra	195	done	f982a967-534e-47d3-b96c-b0c954ce3559	1	pilot-luna	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	196	new		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	197	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	198	in_progress	21c3c781-e8d3-407a-a46a-9dec8a2eeb77	1	audit-codex-theses	archived		4	2	0
/home/kesha/orchestra	/home/kesha/orchestra	199	done	4d11ab0b-ebf4-40f2-ae11-5405469028c3	1	bench-models	archived		3	2	0
/home/kesha/orchestra	/home/kesha/orchestra	200	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	201	in_progress	6c3b028f-2fbd-4964-a1a8-2003c2bf2886	1	bench201-y	idle		1	2	0
/home/kesha/orchestra	/home/kesha/orchestra	202	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	203	done		0				3	2	0
/home/kesha/orchestra	/home/kesha/orchestra	204	done	86f3939b-a70c-4019-8c06-c1e19cb044b5	1	research-benchmarks	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	205	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	206	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	207	new		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	208	in_progress	bf1f42ae-e4ad-4b53-bcb7-879533e2b6ab	1	bench-effort	idle		0	1	0
/home/kesha/orchestra	/home/kesha/orchestra	209	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	210	done	68bec854-119d-4ff6-89b2-d6ba1519613e	1	phase-split-cheap	archived		4	3	0
/home/kesha/orchestra	/home/kesha/orchestra	211	in_progress	eca9d05a-db6f-43bd-897f-ead1a49505a0	1	fix-grep-guard	idle		5	5	0
/home/kesha/orchestra	/home/kesha/orchestra	212	done		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	214	done	24e714aa-8076-48e2-8616-3aaf52ecd904	1	impl-effort-model	archived		2	1	0
/home/kesha/orchestra	/home/kesha/orchestra	215	done		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	216	new		0				6	3	0
/home/kesha/orchestra	/home/kesha/orchestra	217	done	8b668cab-f9bf-4d01-8b1a-356a99975161	1	luna-resume-usage	archived		3	2	0
/home/kesha/orchestra	/home/kesha/orchestra	218	done	e7a5a782-7c42-418a-b2b7-6de437ffdb94	1	luna-live-test	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	219	in_progress	a2487afb-2b93-4abe-9a1b-78d0f5a4de6b	1	feat-fan-research	idle		8	6	0
/home/kesha/orchestra	/home/kesha/orchestra	220	in_progress	f7d6e476-cf61-45b4-9b42-baaf0fb15f2b	1	feat-hot-reload	idle		4	2	0
/home/kesha/orchestra	/home/kesha/orchestra	221	in_progress	8e156105-f848-41ce-b94a-865a10d44883	1	luna-tg-format	archived		2	2	0
/home/kesha/orchestra	/home/kesha/orchestra	222	done	d178b4cf-1586-49ee-925f-7218812c515a	1	bench-spark-luna	idle		3	3	0
/home/kesha/orchestra	/home/kesha/orchestra	223	in_progress	bc39831e-8abd-44be-bab3-7d8cdd903cd3	1	impl223-test-layer-auth	archived		6	10	0
